student_id,BigBlueButtonBN,Fail,Faili esitamine,Foorum,Hindajaraport,Kaust,Kommentaarid tööle,Küsitlus,Leht,Logid,Minu hinderaport,Onlain teksti esitamine,Osalemine,Prügikast,Rühma valimine,Süsteem,Tagasiside,Tegevuste aruanne,Test,Tund,URL,Virtual programming lab,Õppijaraport,Ülesanne,Ülevaate aruanne,label,web,y
20,0.0,0.3125,0.375,4.0,0.0,0.1875,0.0,0.625,1.5625,0.0,0.0,0.0,0.25,0.0,0.3125,25.75,0.625,0.0,51.8125,0.1875,3.3125,27.125,0.0,2.625,0.0,5,0,78.21
21,0.0,0.25,0.375,4.625,0.0,0.375,0.0,0.5,1.0,0.0,0.0,0.0,0.75,0.0,0.375,34.5625,0.9375,0.0,99.5,6.5,2.5625,25.4375,0.0,4.0625,0.0,5,0,83.64
22,0.0,0.25,0.5,4.0625,0.0,0.0625,0.0,0.75,1.4375,0.0,0.0,0.0,0.75,0.0,0.5625,48.0,0.625,0.0,109.8125,17.6875,8.1875,36.8125,0.8125,7.875,0.0,5,0,100.4
23,0.0,0.3125,0.75,2.6875,0.0,0.3125,0.0,0.5,1.6875,0.0,0.0,0.5,0.4375,0.0,0.5625,25.25,0.25,0.0,70.8125,8.625,1.875,12.625,3.375,7.75,0.0,5,0,93.29
24,0.0,1.25,0.5,5.0,0.0,0.875,0.0,0.6875,4.875,0.0,0.0,0.0,0.25,0.0,1.25,74.8125,2.0625,0.0,186.3125,4.0,9.125,25.0,12.0625,5.3125,0.4375,5,0,84.6
25,0.0,0.4375,1.25,2.25,0.0,0.0625,0.0,0.8125,1.6875,0.0,0.0,0.875,0.6875,0.0,0.375,38.0625,0.5,0.0,95.875,5.8125,6.8125,44.5625,2.0625,5.8125,0.0,5,0,98.7
26,0.0,0.0625,0.625,0.0,0.0,0.0625,0.0,0.375,1.125,0.0,0.0,0.375,0.625,0.0,1.0625,19.375,0.25,0.0,63.5,7.5625,2.875,34.1875,1.9375,3.1875,0.0,5,0,87.7
27,0.0,0.875,0.625,0.6875,0.0,0.125,0.0,0.75,2.0625,0.0,0.0,0.375,0.1875,0.0,0.5625,25.3125,0.5,0.0,61.3125,0.75,4.1875,6.5,1.5625,3.6875,0.0625,5,0,57.94
28,0.0,0.375,0.375,1.4375,0.0,0.25,0.0,0.5,1.125,0.0,0.0,0.125,0.75,0.0,0.3125,29.5,0.4375,0.0,108.3125,15.75,6.375,17.6875,0.875,3.25,0.0,5,0,88.5
29,0.0,0.8125,0.625,4.6875,0.0,0.1875,0.0,0.375,1.25,0.0,0.0,0.25,0.75,0.0,0.5,40.25,1.875,0.0,91.375,13.5,7.3125,27.625,0.0,4.375,0.0,5,0,101.7
30,0.0,0.3125,0.875,8.875,0.0,0.1875,0.0,0.1875,1.9375,0.0,0.0,0.75,0.125,0.0,0.625,39.9375,2.0625,0.0,70.375,7.5625,8.3125,35.4375,0.125,6.25,0.0625,5,0,92.69
31,0.0,0.875,0.375,6.0625,0.0,0.5625,0.0,0.75,3.5625,0.0,0.0,0.125,0.1875,0.0,0.9375,25.375,0.375,0.0,79.5,0.375,4.6875,22.9375,0.0,3.375,0.0,5,0,68.46
32,0.0,0.3125,0.375,0.0,0.0,0.125,0.0,0.375,0.5,0.0,0.0,0.125,0.4375,0.0,0.25,9.375,0.125,0.0,14.8125,4.125,1.375,13.1875,0.0,2.375,0.0,5,0,80.75
33,0.0,0.25,0.75,7.0,0.0,0.4375,0.0,0.4375,3.3125,0.0,0.0,0.25,0.0,0.0,0.4375,46.0625,0.6875,0.0,48.3125,1.125,6.75,30.875,9.3125,8.5625,0.8125,2,1,104.9
34,0.0,1.1875,0.875,3.4375,0.0,1.8125,0.0,0.9375,3.625,0.0,0.0,0.375,0.125,0.0,0.375,45.875,0.75,0.0,85.0625,1.9375,5.125,22.3125,8.375,7.6875,0.0,2,1,83.6
35,0.0,0.3125,0.75,0.75,0.0,0.4375,0.0,0.375,2.0625,0.0,0.0,0.5,0.0,0.0,0.375,34.6875,1.625,0.0,71.875,1.6875,3.4375,33.375,0.875,7.625,0.125,2,1,101.5
36,0.0,0.3125,1.0,10.5,0.0,1.6875,0.0,0.4375,5.4375,0.0,0.0,0.75,0.25,0.0,0.6875,46.625,0.6875,0.0,103.125,2.1875,7.875,24.5625,4.25,11.6875,0.0625,2,1,100.8
37,0.0,0.375,0.25,8.25,0.0,0.125,0.0,0.6875,3.1875,0.0,0.0,0.0,0.0625,0.0,1.6875,35.8125,1.25,0.0,39.6875,0.5,4.0625,34.6875,4.625,9.25,0.0625,2,1,80.73
38,0.0,0.8125,0.375,0.125,0.0,0.1875,0.0,0.625,2.625,0.0,0.0,0.0,0.0625,0.0,1.0,23.875,0.5625,0.0,32.125,0.1875,4.0625,6.9375,0.0,2.875,0.0,2,1,56.24
39,0.0,0.375,1.0,7.5,0.0,0.5625,0.0,0.8125,4.0625,0.0,0.0,0.25,0.125,0.0,0.375,55.875,0.3125,0.0,163.125,0.1875,9.3125,34.875,2.75,6.5,0.0,2,1,108.5
40,0.125,0.25,0.75,0.5625,0.0,0.0,0.0,0.75,1.875,0.0,0.0,0.375,0.0625,0.0,0.3125,14.9375,0.125,0.0,31.125,0.0,2.9375,13.5625,0.125,3.875,0.0,2,1,83.65
41,0.0,0.4375,1.0,2.125,0.0,0.125,0.0,0.75,5.1875,0.0,0.0,0.5,0.0,0.0,0.5625,44.5625,1.25,0.0,66.6875,1.0,8.5625,43.875,0.1875,8.75,0.0,2,1,88.68
42,0.0,0.25,0.625,0.9375,0.0,0.1875,0.0,0.5625,2.6875,0.0,0.0,0.375,0.0,0.0,0.375,25.6875,1.1875,0.0,53.0,1.875,3.5,35.5625,0.9375,4.5,0.0625,2,1,84.92
43,0.0,0.0,0.0,0.1875,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.0,0.0625,2,1,0.0
44,0.0,0.5,0.625,9.6875,0.0,0.875,0.0,0.375,4.3125,0.0,0.0,0.375,0.1875,0.0,1.3125,36.9375,1.0625,0.0,38.125,0.4375,8.375,11.3125,2.1875,5.3125,0.4375,2,1,83.47
45,0.0,0.125,0.375,6.5625,0.0,0.4375,0.0,0.375,2.9375,0.0,0.0,0.125,0.0,0.0,0.5625,23.0625,1.3125,0.0,39.5,1.125,6.25,26.125,0.875,6.625,0.0625,2,1,96.95
46,0.0,0.125,1.125,0.75,0.0,0.0,0.0,0.375,1.9375,0.0,0.0,0.875,0.0,0.0,0.4375,15.125,0.5625,0.0,35.5625,0.0,0.75,12.875,0.0,7.4375,0.0,2,1,98.47
47,0.0,0.1875,0.5,1.3125,0.0,0.0,0.0,0.5625,2.0,0.0,0.0,0.25,0.0,0.0,0.375,22.9375,0.1875,0.0,27.5625,0.0,5.3125,12.375,1.1875,5.3125,0.0,2,1,94.3
48,0.0,0.25,0.625,1.375,0.0,0.625,0.0,0.375,2.0625,0.0,0.0,0.25,0.0,0.0,0.3125,23.875,0.5625,0.0,58.6875,0.1875,3.3125,16.0625,1.1875,3.125,0.0,2,1,84.02
49,0.0,0.1875,0.375,0.5625,0.0,0.25,0.0,0.4375,2.0,0.0,0.0,0.125,0.0,0.0,0.4375,25.625,0.3125,0.0,41.3125,0.0,3.625,22.375,0.875,3.125,0.0,2,1,103.8
50,0.0,0.3125,0.25,0.0,0.0,0.125,0.0,0.5,1.5625,0.0,0.0,0.0,0.0,0.0,0.5,24.4375,0.5625,0.0,54.75,0.0,1.5,19.6875,2.4375,2.8125,0.0625,2,1,94.3
51,0.0,0.3125,0.375,0.25,0.0,0.0,0.0,0.0,2.875,0.0,0.0,0.125,0.0,0.0,0.375,22.0625,0.1875,0.0,32.9375,0.0,6.5625,18.375,0.0,1.75,0.0,2,1,87.86
52,0.0,0.25,0.25,0.625,0.0,0.0,0.0,0.375,2.625,0.0,0.0,0.0,0.0,0.0,0.375,18.4375,0.5,0.0,44.875,1.1875,4.0,11.25,0.125,2.875,0.0,2,1,94.09
